time_received_ns,sequence_num,sampling_rate,sampler_address,frame_length,src_mac,dst_mac,ethernet_type,ethernet_length,src_addr,dst_addr,ip_header_len,ip_tos,ip_ttl,ip_flags,ip_len,ip_proto_no,ip_checksum,fragment_offset,more_fragments,protocol,udp_header_len,tcp_header_len,tcp_ack_no,tcp_seq_no,window_size,src_port,dst_port,tcp_flags,tcp_flags_named,icmp_type,icmp_code,icmp_type_code_name,icmp_id,icmp_seq,payload,in_if,out_if,layer_stack,layer_size,vlan_id,is_fragment,dns_answers,dns_questions,dns_authorities,dns_additionals,esp_seq,esp_spi,gre_version,gre_protocol,gre_protocol_named,gre_checksum,gre_seq_no,gre_ack_no,gre_checksum_present,gre_key_present,gre_key,gre_seq_present,gre_ack_present,gre_routing_present,gre_strict_source_route,gre_recursion_control,gre_flags,gre_offset,src_asn,dst_asn,src_latitude,src_longitude,dst_latitude,dst_longitude,src_city,src_country,dst_city,dst_country,src_continent,dst_continent
1783022971173841022,47349833,1000,2.21.126.82,106,b8:3f:d2:3b:f9:97,3c:fe:ac:3f:64:dd,IPv4,14,85.91.156.194,141.92.164.1,20,0,58,2,92,17,7446,0,0,UDP,8,0,0,0,0,20500,53,[],[],0,0,,0,0,07/02/26 20:09:31.17384102 0 3C FE AC 3F 64 DD B8 3F D2 3B F9 97 08 00 45 00 00 5C 00 00 40 00 3A 11 1D 16 55 5B 9C C2 8D 5C A4 01 50 14 00 35 00 48 B1 E3 FA D1 00 10 00 01 00 00 00 00 00 01 12 63 69 73 69 74 30 32 2D 73 65 63 75 72 65 2D 61 70 69 05 67 73 6C 62 74 04 6D 62 6E 61 02 63 6F 02 75 6B 00 00 01 00 01 00 00 29 04 D0 00 00 80 00 00 00 00 00,0,1,"['Ethernet', 'IPv4', 'UDP', 'DNS']","[14, 20, 8, 64]",0,False,[],['cisit02-secure-api.gslbt.mbna.co.uk A IN'],[],['OPT '],0,0,0,0,,0,0,0,False,False,0,False,False,False,False,0,0,0,8717,49758,42.68,23.32,51.5,-0.12,SOFIA,BG,LONDON,GB,EU,EU
1783022971507917546,479998915,1000,2.23.128.50,74,b8:3f:d2:e6:c6:2d,3c:fe:ac:3f:28:e7,IPv4,14,141.101.95.189,141.92.164.1,20,0,60,2,60,6,35218,0,0,TCP,0,40,0,3084271892,65535,11596,53,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 2]",['SYN'],0,0,,0,0,07/02/26 20:09:31.50791754 0 3C FE AC 3F 28 E7 B8 3F D2 E6 C6 2D 08 00 45 00 00 3C 96 A9 40 00 3C 06 89 92 8D 65 5F BD 8D 5C A4 01 2D 4C 00 35 B7 D6 41 14 00 00 00 00 A0 02 FF FF 84 27 00 00 02 04 05 B4 04 02 08 0A 72 68 0C 7E 00 00 00 00 01 03 03 0D 00 00,0,1,"['Ethernet', 'IPv4', 'TCP']","[14, 20, 40]",0,False,[],[],[],[],0,0,0,0,,0,0,0,False,False,0,False,False,False,False,0,0,0,13335,49758,48.87,2.33,51.5,-0.12,PARIS,FR,LONDON,GB,EU,EU
1783022972033941854,479999056,1000,2.23.128.50,119,b8:3f:d2:bd:7d:49,3c:fe:ac:3f:28:e7,IPv4,14,194.204.159.14,141.92.164.1,20,0,57,2,105,17,44186,0,0,UDP,8,0,0,0,0,13738,53,[],[],0,0,,0,0,07/02/26 20:09:32.03394185 0 3C FE AC 3F 28 E7 B8 3F D2 BD 7D 49 08 00 45 00 00 69 01 B1 40 00 39 11 AC 9A C2 CC 9F 0E 8D 5C A4 01 35 AA 00 35 00 55 77 38 BA C7 00 00 00 01 00 00 00 00 00 01 18 73 69 74 30 33 73 69 74 30 33 2D 61 75 74 68 6F 72 69 73 65 2D 61 70 69 0C 6C 62 67 6C 7A 6F 72 69 67 69 6E 74 04 6D 62 6E 61 02 63 6F 02 75 6B 00 00 01 00 01 00 00 29 10 00 00 00 80 00 00 00 00,0,1,"['Ethernet', 'IPv4', 'UDP', 'DNS']","[14, 20, 8, 77]",0,False,[],['sit03sit03-authorise-api.lbglzorigint.mbna.co.uk A IN'],[],['OPT '],0,0,0,0,,0,0,0,False,False,0,False,False,False,False,0,0,0,5617,49758,52.25,21.0,51.5,-0.12,WARSAW,PL,LONDON,GB,EU,EU
1783022972208942161,1079223561,1000,2.23.130.82,120,b8:3f:d2:bd:7d:37,d4:66:24:16:0c:e8,IPv4,14,192.221.134.6,141.92.164.1,20,0,56,0,106,17,15816,0,0,UDP,8,0,0,0,0,40160,53,[],[],0,0,,0,0,07/02/26 20:09:32.20894216 0 D4 66 24 16 0C E8 B8 3F D2 BD 7D 37 08 00 45 00 00 6A CC 79 00 00 38 11 3D C8 C0 DD 86 06 8D 5C A4 01 9C E0 00 35 00 56 4D 59 D1 3B 00 10 00 01 00 00 00 00 00 01 19 73 49 54 30 33 2D 61 75 74 68 6F 72 69 53 65 2D 41 50 49 2D 45 6D 61 49 4C 0C 4C 42 67 4C 7A 4F 52 49 47 69 4E 54 04 6D 42 4E 61 02 63 4F 02 75 6B 00 00 01 00 01 00 00 29 10 00 00 00 80 00 00 00,0,1,"['Ethernet', 'IPv4', 'UDP', 'DNS']","[14, 20, 8, 78]",0,False,[],['sIT03-authoriSe-API-EmaIL.LBgLzORIGiNT.mBNa.cO.uk A IN'],[],['OPT '],0,0,0,0,,0,0,0,False,False,0,False,False,False,False,0,0,0,3356,49758,33.7486,-84.3884,51.5,-0.12,ATLANTA,US,LONDON,GB,NA,EU
1783022972279595835,517853698,1000,2.21.120.82,74,08:c0:eb:4f:7d:ad,3c:fe:ac:3b:dc:e7,IPv4,14,104.22.48.107,141.92.164.1,20,136,58,2,60,6,50341,0,0,TCP,0,40,0,4149434073,65535,64472,53,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 2]",['SYN'],0,0,,0,0,07/02/26 20:09:32.27959583 0 3C FE AC 3B DC E7 08 C0 EB 4F 7D AD 08 00 45 88 00 3C B1 AF 40 00 3A 06 C4 A5 68 16 30 6B 8D 5C A4 01 FB D8 00 35 F7 53 56 D9 00 00 00 00 A0 02 FF FF 35 4A 00 00 02 04 05 B4 04 02 08 0A B6 64 48 31 00 00 00 00 01 03 03 0D 00 00,0,1,"['Ethernet', 'IPv4', 'TCP']","[14, 20, 40]",0,False,[],[],[],[],0,0,0,0,,0,0,0,False,False,0,False,False,False,False,0,0,0,13335,49758,28.6,77.2,51.5,-0.12,NEWDELHI,IN,LONDON,GB,AS,EU
1783022972466634809,517853753,1000,2.21.120.82,74,10:70:fd:aa:3f:7f,3c:fe:ac:3b:dc:e7,IPv4,14,172.68.231.92,141.92.164.1,20,136,57,2,60,6,20478,0,0,TCP,0,40,0,717520901,65535,31082,53,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 2]",['SYN'],0,0,,0,0,07/02/26 20:09:32.4666348 0 3C FE AC 3B DC E7 10 70 FD AA 3F 7F 08 00 45 88 00 3C 2C 37 40 00 39 06 4F FE AC 44 E7 5C 8D 5C A4 01 79 6A 00 35 2A C4 80 05 00 00 00 00 A0 02 FF FF DE C5 00 00 02 04 05 B4 04 02 08 0A FC D2 82 F9 00 00 00 00 01 03 03 0D 00 00,0,1,"['Ethernet', 'IPv4', 'TCP']","[14, 20, 40]",0,False,[],[],[],[],0,0,0,0,,0,0,0,False,False,0,False,False,False,False,0,0,0,14789,49758,23.72,90.41,51.5,-0.12,DHAKA,BD,LONDON,GB,AS,EU
1783022972561692795,479999177,1000,2.23.128.50,66,b8:3f:d2:bd:7d:49,3c:fe:ac:3f:28:e7,IPv4,14,172.71.117.152,141.92.164.1,20,0,60,2,52,6,38576,0,0,TCP,0,32,4004150731,1680756509,16,60160,53,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 17]","['ACK', 'FIN']",0,0,,0,0,07/02/26 20:09:32.56169279 0 3C FE AC 3F 28 E7 B8 3F D2 BD 7D 49 08 00 45 00 00 34 54 D6 40 00 3C 06 96 B0 AC 47 75 98 8D 5C A4 01 EB 00 00 35 64 2E 4F 1D EE AA 7D CB 80 11 00 10 FC 02 00 00 01 01 08 0A EF 75 62 7D 73 6E 57 12 00 00,0,1,"['Ethernet', 'IPv4', 'TCP']","[14, 20, 32]",0,False,[],[],[],[],0,0,0,0,,0,0,0,False,False,0,False,False,False,False,0,0,0,13335,49758,48.87,2.33,51.5,-0.12,PARIS,FR,LONDON,GB,EU,EU
1783022972670540394,896298079,1000,23.32.69.82,141,b8:3f:d2:45:24:eb,3c:fe:ac:50:30:ec,IPv4,14,172.253.251.119,141.92.164.1,20,0,109,0,127,17,26345,0,0,UDP,8,0,0,0,0,50124,53,[],[],0,0,,0,0,07/02/26 20:09:32.67054039 0 3C FE AC 50 30 EC B8 3F D2 45 24 EB 08 00 45 00 00 7F 0C B2 00 00 6D 11 66 E9 AC FD FB 77 8D 5C A4 01 C3 CC 00 35 00 6B DC AB 26 3A 00 10 00 01 00 00 00 00 00 01 1F 74 52 31 70 52 65 2D 53 49 54 30 32 2D 53 65 43 75 52 45 2D 63 48 61 6E 4E 45 4C 2D 61 50 49 0C 6C 62 67 6C 7A 4F 72 49 47 49 4E 54 04 4D 42 6E 41 02 63 4F 02 75 4B 00 00 01 00 01 00 00 29 05 78 00 00 80 00 00 0F 00 08 00 0B 00 02 38 00 20 01 19 00 21 00 00 00 00 00,0,1,"['Ethernet', 'IPv4', 'UDP', 'DNS']","[14, 20, 8, 99]",0,False,[],['tR1pRe-SIT02-SeCuRE-cHanNEL-aPI.lbglzOrIGINT.MBnA.cO.uK A IN'],[],['OPT EDNSClientSubnet=0002380020011900210000'],0,0,0,0,,0,0,0,False,False,0,False,False,False,False,0,0,0,15169,49758,32.7874,-96.7989,51.5,-0.12,DALLAS,US,LONDON,GB,NA,EU
1783022972855082980,276259944,1000,104.86.66.42,115,b8:ce:f6:ef:8a:3f,b0:a6:51:ff:e0:e7,IPv4,14,202.175.45.2,141.92.164.1,20,0,121,0,101,17,4167,0,0,UDP,8,0,0,0,0,56464,53,[],[],0,0,,0,0,07/02/26 20:09:32.85508298 0 B0 A6 51 FF E0 E7 B8 CE F6 EF 8A 3F 08 00 45 00 00 65 08 32 00 00 79 11 10 47 CA AF 2D 02 8D 5C A4 01 DC 90 00 35 00 51 41 E8 F2 0E 00 00 00 01 00 00 00 00 00 01 14 73 69 74 30 32 2D 73 65 63 75 72 65 2D 61 70 69 2D 76 69 70 0C 6C 62 67 6C 7A 6F 72 69 67 69 6E 74 04 6D 62 6E 61 02 63 6F 02 75 6B 00 00 01 00 01 00 00 29 0F A0 00 00 80 00 00 00 00,0,1,"['Ethernet', 'IPv4', 'UDP', 'DNS']","[14, 20, 8, 73]",0,False,[],['sit02-secure-api-vip.lbglzorigint.mbna.co.uk A IN'],[],['OPT '],0,0,0,0,,0,0,0,False,False,0,False,False,False,False,0,0,0,4609,49758,22.2,113.55,51.5,-0.12,MACAU,MO,LONDON,GB,AS,EU
1783022972968403818,47350470,1000,2.21.126.82,74,b8:3f:d2:45:30:9d,3c:fe:ac:3f:64:dd,IPv4,14,172.70.186.73,141.92.164.1,20,136,59,2,60,6,48460,0,0,TCP,0,40,0,585694181,65535,36524,53,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 2]",['SYN'],0,0,,0,0,07/02/26 20:09:32.96840381 0 3C FE AC 3F 64 DD B8 3F D2 45 30 9D 08 00 45 88 00 3C E9 F9 40 00 3B 06 BD 4C AC 46 BA 49 8D 5C A4 01 8E AC 00 35 22 E8 FB E5 00 00 00 00 A0 02 FF FF 71 D9 00 00 02 04 05 B4 04 02 08 0A 6C F5 23 8E 00 00 00 00 01 03 03 0D 00 00,0,1,"['Ethernet', 'IPv4', 'TCP']","[14, 20, 40]",0,False,[],[],[],[],0,0,0,0,,0,0,0,False,False,0,False,False,False,False,0,0,0,14789,49758,40.18,44.5,51.5,-0.12,EREVAN,AM,LONDON,GB,AS,EU
